Compounds,delta_S,r,delta_r,mass,delta_mass,specific,delta_specific,vaporization,delta_vaporization,fusion,delta_fusion,electronegativity,delta_electronegativity,density_re,delta_density_re,modulus_re,delta_modulus_re,Tm_re,delta_Tm_re,energy,delta_energy,formation,delta_formation,enthalpy,delta_enthalpy,lambda,delta_lambda,modulus_reo,delta_modulus_reo,Tm_reo,delta_Tm_reo,density_reo,delta_density_reo,CFS,delta_CFS
Yb0.2Tm0.1Y0.7Gd1.0Si1O5,9.75873,0.27866,0.32112,37.38395,52.11026,150.67500,204.94743,123.37500,130.61294,8.92500,14.64399,0.53737,0.58482,1.95092,2.49233,22.17500,28.77260,514.18500,534.93450,2.56539,2.67916,-602.82500,685.67375,-570.25000,649.63309,0.33125,0.38355,47.31250,62.09504,816.45000,857.24805,2.03262,2.50010,4.02366,7.42005
Yb0.2Tm0.1Y0.8Gd0.9Si2O7,9.21695,0.23868,0.29573,29.12020,46.45114,174.65455,231.45992,123.04545,133.43408,11.06727,16.70440,0.56373,0.63136,1.59950,2.22196,25.24545,32.42769,504.43455,539.86118,2.60741,2.81454,-520.39091,632.79455,-491.86364,599.53599,0.28291,0.35082,38.00000,57.35535,749.41818,818.25277,1.69736,2.25424,5.20170,8.46971
Yb0.2Tm0.1Y0.8Gd0.9Si1O5,9.78332,0.27819,0.32043,36.52965,51.06660,151.40000,205.03077,124.31250,131.62291,8.94250,14.63942,0.53762,0.58496,1.90806,2.43929,22.21250,28.77708,516.84750,537.82240,2.56623,2.67979,-601.67500,684.04437,-569.31250,648.30173,0.32900,0.38028,47.62500,62.57313,816.32500,857.08934,2.00262,2.46468,4.02734,7.41857
Yb0.2Tm0.1Y0.9Gd0.8Si2O7,9.21695,0.23834,0.29511,28.49889,45.42412,175.18182,231.42066,123.72727,134.15057,11.08000,16.69875,0.56391,0.63144,1.56833,2.17094,25.27273,32.42615,506.37091,541.98210,2.60803,2.81495,-519.55455,631.34148,-491.18182,598.34845,0.28127,0.34787,38.22727,57.79011,749.32727,818.12069,1.67555,2.22059,5.20437,8.46814
Yb0.2Tm0.1Y0.9Gd0.8Si1O5,9.78332,0.27771,0.31974,35.67535,49.97744,152.12500,205.10991,125.25000,132.61443,8.96000,14.63483,0.53788,0.58511,1.86520,2.38383,22.25000,28.78148,519.51000,540.67356,2.56707,2.68042,-600.52500,682.40795,-568.37500,646.96543,0.32675,0.37697,47.93750,63.04507,816.20000,856.93056,1.97262,2.42813,4.03101,7.41709
Yb0.2Tm0.1Y1.0Gd0.7Si2O7,9.19906,0.23799,0.29449,27.87758,44.35909,175.70909,231.37944,124.40909,134.85760,11.09273,16.69308,0.56409,0.63153,1.53715,2.11795,25.30000,32.42457,508.30727,544.08348,2.60864,2.81537,-518.71818,629.88323,-490.50000,597.15728,0.27964,0.34489,38.45455,58.22016,749.23636,817.98857,1.65373,2.18607,5.20705,8.46658
Yb0.2Tm0.1Y1.0Gd0.7Si1O5,9.75873,0.27724,0.31904,34.82105,48.83973,152.85000,205.18486,126.18750,133.58789,8.97750,14.63019,0.53812,0.58525,1.82234,2.32575,22.28750,28.78579,522.17250,543.48858,2.56791,2.68105,-599.37500,680.76444,-567.43750,645.62415,0.32450,0.37361,48.25000,63.51101,816.07500,856.77173,1.94262,2.39042,4.03469,7.41560
Yb0.2Tm0.1Y1.1Gd0.6Si2O7,9.16277,0.23765,0.29387,27.25627,43.25325,176.23636,231.33624,125.09091,135.55534,11.10545,16.68739,0.56427,0.63161,1.50598,2.06282,25.32727,32.42295,510.24364,546.16554,2.60925,2.81578,-517.88182,628.41979,-489.81818,595.96245,0.27800,0.34187,38.68182,58.64563,749.14545,817.85641,1.63191,2.15063,5.20972,8.46501
Yb0.2Tm0.1Y1.1Gd0.6Si1O5,9.70882,0.27676,0.31834,33.96675,47.64999,153.57500,205.25562,127.12500,134.54369,8.99500,14.62552,0.53838,0.58539,1.77948,2.26488,22.32500,28.79003,524.83500,546.26800,2.56875,2.68168,-598.22500,679.11379,-566.50000,644.27787,0.32225,0.37019,48.56250,63.97107,815.95000,856.61283,1.91262,2.35148,4.03836,7.41411
Yb0.2Tm0.1Y1.2Gd0.5Si2O7,9.10694,0.23730,0.29324,26.63496,42.10339,176.76364,231.29106,125.77273,136.24393,11.11818,16.68168,0.56445,0.63169,1.47481,2.00539,25.35455,32.42130,512.18000,548.22849,2.60986,2.81620,-517.04545,626.95110,-489.13636,594.76394,0.27636,0.33881,38.90909,59.06659,749.05455,817.72421,1.61009,2.11423,5.21239,8.46344
Yb0.2Tm0.1Y1.2Gd0.5Si1O5,9.63206,0.27629,0.31764,33.11245,46.40423,154.30000,205.32219,128.06250,135.48222,9.01250,14.62082,0.53862,0.58554,1.73661,2.20096,22.36250,28.79419,527.49750,549.01237,2.56959,2.68231,-597.07500,677.45595,-565.56250,642.92654,0.32000,0.36673,48.87500,64.42539,815.82500,856.45388,1.88262,2.31125,4.04204,7.41262
Yb0.2Tm0.1Y1.3Gd0.4Si2O7,9.02959,0.23695,0.29262,26.01365,40.90579,177.29091,231.24391,126.45455,136.92349,11.13091,16.67595,0.56464,0.63177,1.44364,1.94544,25.38182,32.41961,514.11636,550.27257,2.61047,2.81661,-516.20909,625.47713,-488.45455,593.56173,0.27473,0.33571,39.13636,59.48316,748.96364,817.59198,1.58827,2.07682,5.21506,8.46187
Yb0.2Tm0.1Y1.3Gd0.4Si1O5,9.52569,0.27581,0.31694,32.25815,45.09780,155.02500,205.38459,129.00000,136.40381,9.03000,14.61608,0.53888,0.58568,1.69375,2.13374,22.40000,28.79826,530.16000,551.72221,2.57043,2.68294,-595.92500,675.79085,-564.62500,641.57014,0.31775,0.36320,49.18750,64.87408,815.70000,856.29487,1.85263,2.26966,4.04571,7.41113
Yb0.2Tm0.1Y1.4Gd0.3Si2O7,8.92732,0.23661,0.29199,25.39235,39.65613,177.81818,231.19478,127.13636,137.59417,11.14364,16.67021,0.56482,0.63186,1.41246,1.88275,25.40909,32.41788,516.05273,552.29797,2.61108,2.81703,-515.37273,623.99785,-487.77273,592.35580,0.27309,0.33257,39.36364,59.89542,748.87273,817.45971,1.56645,2.03834,5.21774,8.46030
Yb0.2Tm0.1Y1.4Gd0.3Si1O5,9.38507,0.27534,0.31623,31.40385,43.72526,155.75000,205.44281,129.93750,137.30882,9.04750,14.61130,0.53912,0.58582,1.65089,2.06287,22.43750,28.80226,532.82250,554.39803,2.57127,2.68357,-594.77500,674.11846,-563.68750,640.20863,0.31550,0.35962,49.50000,65.31725,815.57500,856.13580,1.82262,2.22664,4.04939,7.40963
Yb0.2Tm0.1Y1.5Gd0.2Si2O7,8.79396,0.23626,0.29136,24.77104,38.34932,178.34545,231.14367,127.81818,138.25609,11.15636,16.66445,0.56500,0.63194,1.38129,1.81702,25.43636,32.41611,517.98909,554.30490,2.61169,2.81744,-514.53636,622.51321,-487.09091,591.14612,0.27145,0.32938,39.59091,60.30346,748.78182,817.32740,1.54464,1.99873,5.22041,8.45872
Yb0.2Tm0.1Y1.5Gd0.2Si1O5,9.20171,0.27486,0.31552,30.54955,42.28017,156.47500,205.49686,130.87500,138.19757,9.06500,14.60649,0.53937,0.58596,1.60802,1.98799,22.47500,28.80618,535.48500,557.04032,2.57211,2.68420,-593.62500,672.43871,-562.75000,638.84199,0.31325,0.35598,49.81250,65.75503,815.45000,855.97667,1.79262,2.18210,4.05306,7.40813
Yb0.2Tm0.1Y1.6Gd0.1Si2O7,8.61601,0.23592,0.29073,24.14973,36.97929,178.87273,231.09059,128.50000,138.90939,11.16909,16.65867,0.56518,0.63202,1.35012,1.74791,25.46364,32.41430,519.92545,556.29356,2.61230,2.81786,-513.70000,621.02318,-486.40909,589.93266,0.26982,0.32615,39.81818,60.70736,748.69091,817.19505,1.52282,1.95793,5.22308,8.45715
Yb0.2Tm0.1Y1.6Gd0.1Si1O5,8.95703,0.27439,0.31481,29.69525,40.75483,157.20000,205.54673,131.81250,139.07037,9.08250,14.60165,0.53962,0.58611,1.56516,1.90861,22.51250,28.81001,538.14750,559.64955,2.57295,2.68482,-592.47500,670.75155,-561.81250,637.47018,0.31100,0.35227,50.12500,66.18751,815.32500,855.81748,1.76262,2.13595,4.05674,7.40662
Yb0.2Tm0.2Y0.1Gd1.5Si2O7,8.79396,0.24055,0.29905,33.57558,52.97015,170.23636,231.92790,117.77273,127.81095,11.04000,16.72644,0.56291,0.63100,1.83061,2.56163,25.11818,32.43831,492.98909,526.95085,2.60345,2.81183,-526.70909,643.65962,-497.13636,608.65256,0.29273,0.36773,36.59091,54.53972,750.03636,819.14985,1.86091,2.48986,5.18745,8.47807
Yb0.2Tm0.2Y0.1Gd1.5Si1O5,9.20171,0.28075,0.32415,42.65580,57.78567,145.32500,204.53972,117.06250,123.65846,8.90500,14.66482,0.53650,0.58433,2.22584,2.79880,22.03750,28.76159,501.11000,520.25180,2.56078,2.67568,-610.36250,696.24793,-576.56250,658.53885,0.34250,0.39914,45.68750,59.49368,817.17500,858.16732,2.22750,2.71573,4.00775,7.42649
Yb0.2Tm0.2Y0.2Gd1.4Si2O7,8.96686,0.24020,0.29844,32.95427,52.15878,170.76364,231.90516,118.45455,128.60453,11.05273,16.72083,0.56309,0.63108,1.79944,2.52219,25.14545,32.43695,494.92545,529.19206,2.60406,2.81224,-525.87273,642.24460,-496.45455,607.49253,0.29109,0.36500,36.81818,55.00627,749.94545,819.01802,1.83909,2.46181,5.19013,8.47652
Yb0.2Tm0.2Y0.2Gd1.4Si1O5,9.43945,0.28028,0.32348,41.80150,56.97490,146.05000,204.65403,118.00000,124.80184,8.92250,14.66030,0.53675,0.58447,2.18298,2.75863,22.07500,28.76636,503.77250,523.32886,2.56162,2.67632,-609.21250,694.66363,-575.62500,657.24017,0.34025,0.39611,46.00000,60.00625,817.05000,858.00895,2.19750,2.68669,4.01142,7.42503
Yb0.2Tm0.2Y0.3Gd1.3Si2O7,9.09482,0.23985,0.29784,32.33296,51.32227,171.29091,231.88046,119.13636,129.38736,11.06545,16.71520,0.56327,0.63116,1.76826,2.48147,25.17273,32.43554,496.86182,531.41226,2.60467,2.81266,-525.03636,640.82466,-495.77273,606.32902,0.28945,0.36223,37.04545,55.46737,749.85455,818.88616,1.81727,2.43312,5.19280,8.47496
Yb0.2Tm0.2Y0.3Gd1.3Si1O5,9.61539,0.27980,0.32279,40.94720,56.13130,146.77500,204.76410,118.93750,125.92350,8.94000,14.65575,0.53700,0.58462,2.14011,2.71676,22.11250,28.77105,506.43500,526.36603,2.56246,2.67695,-608.06250,693.07261,-574.68750,655.93674,0.33800,0.39304,46.31250,60.51186,816.92500,857.85052,2.16750,2.65679,4.01510,7.42356
Yb0.2Tm0.2Y0.4Gd1.2Si2O7,9.19127,0.23951,0.29722,31.71165,50.45939,171.81818,231.85380,119.81818,130.15964,11.07818,16.70955,0.56345,0.63125,1.73709,2.43943,25.20000,32.43410,498.79818,533.61174,2.60528,2.81308,-524.20000,639.39978,-495.09091,605.16203,0.28782,0.35943,37.27273,55.92315,749.76364,818.75425,1.79545,2.40376,5.19547,8.47340
Yb0.2Tm0.2Y0.4Gd1.2Si1O5,9.74801,0.27932,0.32211,40.09290,55.25337,147.50000,204.86994,119.87500,127.02401,8.95750,14.65116,0.53725,0.58476,2.09725,2.67313,22.15000,28.77566,509.09750,529.36403,2.56330,2.67758,-606.91250,691.47482,-573.75000,654.62854,0.33575,0.38992,46.62500,61.01068,816.80000,857.69203,2.13750,2.62598,4.01878,7.42209
Yb0.2Tm0.2Y0.5Gd1.1Si2O7,9.26232,0.23916,0.29661,31.09035,49.56875,172.34545,231.82517,120.50000,130.92156,11.09091,16.70388,0.56364,0.63133,1.70592,2.39599,25.22727,32.43262,500.73455,535.79073,2.60589,2.81350,-523.36364,637.96993,-494.40909,603.99151,0.28618,0.35659,37.50000,56.37375,749.67273,818.62231,1.77364,2.37371,5.19815,8.47184
Yb0.2Tm0.2Y0.5Gd1.1Si1O5,9.84570,0.27885,0.32142,39.23860,54.33944,148.22500,204.97157,120.81250,128.10392,8.97500,14.64653,0.53750,0.58491,2.05439,2.62763,22.18750,28.78019,511.76000,532.32350,2.56414,2.67822,-605.76250,689.87022,-572.81250,653.31553,0.33350,0.38676,46.93750,61.50287,816.67500,857.53347,2.10750,2.59425,4.02245,7.42061
Yb0.2Tm0.2Y0.6Gd1.0Si2O7,9.31127,0.23882,0.29599,30.46904,48.64883,172.87273,231.79457,121.18182,131.67329,11.10364,16.69820,0.56382,0.63141,1.67475,2.35106,25.25455,32.43111,502.67091,537.94950,2.60650,2.81391,-522.52727,636.53506,-493.72727,602.81746,0.28455,0.35372,37.72727,56.81929,749.58182,818.49034,1.75182,2.34295,5.20082,8.47028
Yb0.2Tm0.2Y0.6Gd1.0Si1O5,9.91300,0.27838,0.32073,38.38430,53.38766,148.95000,205.06897,121.75000,129.16375,8.99250,14.64188,0.53775,0.58505,2.01152,2.58017,22.22500,28.78464,514.42250,535.24509,2.56498,2.67885,-604.61250,688.25875,-571.87500,651.99768,0.33125,0.38355,47.25000,61.98860,816.55000,857.37486,2.07750,2.56155,4.02613,7.41914
Yb0.2Tm0.2Y0.7Gd0.9Si2O7,9.33999,0.23847,0.29538,29.84773,47.69794,173.40000,231.76201,121.86364,132.41501,11.11636,16.69250,0.56400,0.63150,1.64357,2.30457,25.28182,32.42955,504.60727,540.08827,2.60711,2.81433,-521.69091,635.09515,-493.04545,601.63986,0.28291,0.35082,37.95455,57.25989,749.49091,818.35832,1.73000,2.31143,5.20349,8.46871
Yb0.2Tm0.2Y0.7Gd0.9Si1O5,9.95250,0.27790,0.32004,37.53000,52.39598,149.67500,205.16217,122.68750,130.20398,9.01000,14.63718,0.53800,0.58519,1.96866,2.53065,22.26250,28.78900,517.08500,538.12941,2.56582,2.67948,-603.46250,686.64037,-570.93750,650.67497,0.32900,0.38028,47.56250,62.46800,816.42500,857.21620,2.04750,2.52785,4.02980,7.41766
Yb0.2Tm0.2Y0.8Gd0.8Si2O7,9.34946,0.23813,0.29476,29.22642,46.71418,173.92727,231.72748,122.54545,133.14688,11.12909,16.68678,0.56418,0.63158,1.61240,2.25642,25.30909,32.42796,506.54364,542.20729,2.60773,2.81475,-520.85455,633.65016,-492.36364,600.45868,0.28127,0.34787,38.18182,57.69566,749.40000,818.22627,1.70818,2.27914,5.20616,8.46715
Yb0.2Tm0.2Y0.8Gd0.8Si1O5,9.96552,0.27742,0.31934,36.67570,51.36207,150.40000,205.25116,123.62500,131.22508,9.02750,14.63245,0.53825,0.58534,1.92580,2.47893,22.30000,28.79329,519.74750,540.97706,2.56666,2.68011,-602.31250,685.01503,-570.00000,649.34736,0.32675,0.37697,47.87500,62.94124,816.30000,857.05747,2.01750,2.49311,4.03348,7.41617
Yb0.2Tm0.2Y0.9Gd0.7Si2O7,9.33999,0.23778,0.29414,28.60511,45.69542,174.45455,231.69098,123.22727,133.86907,11.14182,16.68104,0.56436,0.63166,1.58123,2.20650,25.33636,32.42633,508.48000,544.30679,2.60834,2.81516,-520.01818,632.20006,-491.68182,599.27390,0.27964,0.34489,38.40909,58.12670,749.30909,818.09418,1.68636,2.24604,5.20884,8.46558
Yb0.2Tm0.2Y0.9Gd0.7Si1O5,9.95250,0.27695,0.31865,35.82140,50.28335,151.12500,205.33596,124.56250,132.22750,9.04500,14.62769,0.53850,0.58548,1.88294,2.42488,22.33750,28.79750,522.41000,543.78861,2.56750,2.68074,-601.16250,683.38267,-569.06250,648.01484,0.32450,0.37361,48.18750,63.40844,816.17500,856.89868,1.98750,2.45729,4.03715,7.41469
Yb0.2Tm0.2Y1.0Gd0.6Si2O7,9.31127,0.23744,0.29351,27.98380,44.63929,174.98182,231.65251,123.90909,134.58173,11.15455,16.67528,0.56455,0.63174,1.55005,2.15469,25.36364,32.42466,510.41636,546.38700,2.60895,2.81558,-519.18182,630.74481,-491.00000,598.08551,0.27800,0.34187,38.63636,58.55313,749.21818,817.96205,1.66455,2.21209,5.21151,8.46401
Yb0.2Tm0.2Y1.0Gd0.6Si1O5,9.91300,0.27648,0.31795,34.96710,49.15684,151.85000,205.41656,125.50000,133.21165,9.06250,14.62289,0.53875,0.58562,1.84008,2.36834,22.37500,28.80163,525.07250,546.56463,2.56834,2.68137,-600.01250,681.74326,-568.12500,646.67735,0.32225,0.37019,48.50000,63.86974,816.05000,856.73984,1.95750,2.42032,4.04082,7.41320
Yb0.2Tm0.2Y1.1Gd0.5Si2O7,9.26232,0.23709,0.29289,27.36249,43.54305,175.50909,231.61207,124.59091,135.28502,11.16727,16.66951,0.56473,0.63183,1.51888,2.10084,25.39091,32.42296,512.35273,548.44813,2.60956,2.81599,-518.34545,629.28437,-490.31818,596.89347,0.27636,0.33881,38.86364,58.97505,749.12727,817.82988,1.64273,2.17726,5.21418,8.46244
Yb0.2Tm0.2Y1.1Gd0.5Si1O5,9.84570,0.27600,0.31724,34.11280,47.97920,152.57500,205.49297,126.43750,134.17794,9.08000,14.61805,0.53900,0.58577,1.79721,2.30912,22.41250,28.80568,527.73500,549.30565,2.56918,2.68200,-598.86250,680.09674,-567.18750,645.33489,0.32000,0.36673,48.81250,64.32527,815.92500,856.58093,1.92750,2.38218,4.04450,7.41170
Yb0.2Tm0.2Y1.2Gd0.4Si2O7,9.19127,0.23675,0.29226,26.74118,42.40359,176.03636,231.56966,125.27273,135.97907,11.18000,16.66372,0.56491,0.63191,1.48771,2.04480,25.41818,32.42122,514.28909,550.49039,2.61017,2.81641,-517.50909,627.81872,-489.63636,595.69777,0.27473,0.33571,39.09091,59.39254,749.03636,817.69768,1.62091,2.14149,5.21685,8.46087
Yb0.2Tm0.2Y1.2Gd0.4Si1O5,9.74801,0.27553,0.31654,33.25850,46.74655,153.30000,205.56521,127.37500,135.12676,9.09750,14.61318,0.53925,0.58591,1.75435,2.24701,22.45000,28.80965,530.39750,552.01219,2.57002,2.68263,-597.71250,678.44305,-566.25000,643.98740,0.31775,0.36320,49.12500,64.77514,815.80000,856.42197,1.89750,2.34278,4.04817,7.41021
Yb0.2Tm0.2Y1.3Gd0.3Si2O7,9.09482,0.23640,0.29163,26.11987,41.21734,176.56364,231.52527,125.95455,136.66404,11.19273,16.65791,0.56509,0.63199,1.45654,1.98637,25.44545,32.41944,516.22545,552.51401,2.61078,2.81682,-516.67273,626.34780,-488.95455,594.49839,0.27309,0.33257,39.31818,59.80571,748.94545,817.56544,1.59909,2.10475,5.21953,8.45929
Yb0.2Tm0.2Y1.3Gd0.3Si1O5,9.61539,0.27505,0.31583,32.40420,45.45442,154.02500,205.63326,128.31250,136.05846,9.11500,14.60827,0.53950,0.58605,1.71149,2.18177,22.48750,28.81354,533.06000,554.68475,2.57086,2.68326,-596.56250,676.78215,-565.31250,642.63487,0.31550,0.35962,49.43750,65.21947,815.67500,856.26294,1.86750,2.30208,4.05185,7.40871
Yb0.2Tm0.2Y1.4Gd0.2Si2O7,8.96686,0.23605,0.29100,25.49856,39.98012,177.09091,231.47892,126.63636,137.34004,11.20545,16.65208,0.56527,0.63207,1.42536,1.92535,25.47273,32.41762,518.16182,554.51917,2.61139,2.81724,-515.83636,624.87160,-488.27273,593.29530,0.27145,0.32938,39.54545,60.21464,748.85455,817.43316,1.57727,2.06698,5.22220,8.45772
Yb0.2Tm0.2Y1.4Gd0.2Si1O5,9.43945,0.27458,0.31512,31.54990,44.09758,154.75000,205.69713,129.25000,136.97339,9.13250,14.60332,0.53975,0.58619,1.66862,2.11311,22.52500,28.81735,535.72250,557.32384,2.57170,2.68389,-595.41250,675.11397,-564.37500,641.27726,0.31325,0.35598,49.75000,65.65838,815.55000,856.10386,1.83750,2.26000,4.05552,7.40720
Yb0.2Tm0.2Y1.5Gd0.1Si2O7,8.79396,0.23571,0.29037,24.87725,38.68704,177.61818,231.43058,127.31818,138.00723,11.21818,16.64624,0.56545,0.63215,1.39419,1.86148,25.50000,32.41576,520.09818,556.50608,2.61200,2.81765,-515.00000,623.39006,-487.59091,592.08848,0.26982,0.32615,39.77273,60.61941,748.76364,817.30084,1.55545,2.02812,5.22487,8.45614
Yb0.2Tm0.2Y1.5Gd0.1Si1O5,9.20171,0.27410,0.31440,30.69560,42.66986,155.47500,205.75684,130.18750,137.87190,9.15000,14.59835,0.54000,0.58633,1.62576,2.04067,22.56250,28.82108,538.38500,559.92991,2.57254,2.68451,-594.26250,673.43848,-563.43750,639.91453,0.31100,0.35227,50.06250,66.09198,815.42500,855.94472,1.80750,2.21646,4.05920,7.40570
Yb0.2Tm0.3Y0.1Gd1.4Si2O7,8.92732,0.23999,0.29810,33.68180,53.18640,169.50909,232.17228,117.27273,127.47725,11.10182,16.70901,0.56336,0.63122,1.84351,2.58970,25.18182,32.43899,495.09818,529.42880,2.60376,2.81204,-527.17273,644.49337,-497.63636,609.55437,0.29109,0.36500,36.77273,54.90512,750.01818,819.12339,1.87173,2.51128,5.19192,8.47552
Yb0.2Tm0.3Y0.1Gd1.4Si1O5,9.38507,0.27999,0.32309,42.80185,58.02190,144.32500,204.71243,116.37500,123.16918,8.99000,14.65821,0.53712,0.58471,2.24358,2.83018,22.12500,28.77867,504.01000,523.65400,2.56121,2.67600,-611.00000,697.18869,-577.25000,659.55598,0.34025,0.39611,45.93750,59.89386,817.15000,858.13554,2.24237,2.73958,4.01389,7.42413
Yb0.2Tm0.3Y0.2Gd1.3Si2O7,9.09482,0.23965,0.29749,33.06049,52.38044,170.03636,232.15227,117.95455,128.27724,11.11455,16.70331,0.56355,0.63130,1.81234,2.55095,25.20909,32.43754,497.03455,531.64699,2.60437,2.81246,-526.33636,643.08117,-496.95455,608.39698,0.28945,0.36223,37.00000,55.36737,749.92727,818.99156,1.84991,2.48363,5.19459,8.47397
Yb0.2Tm0.3Y0.2Gd1.3Si1O5,9.61539,0.27951,0.32241,41.94755,57.21802,145.05000,204.83239,117.31250,124.32548,9.00750,14.65352,0.53737,0.58485,2.20071,2.79090,22.16250,28.78326,506.67250,526.68735,2.56205,2.67664,-609.85000,695.60824,-576.31250,658.26089,0.33800,0.39304,46.25000,60.40094,817.02500,857.97715,2.21237,2.71107,4.01756,7.42266
Yb0.2Tm0.3Y0.3Gd1.2Si2O7,9.21695,0.23930,0.29687,32.43918,51.54963,170.56364,232.13030,118.63636,129.06638,11.12727,16.69759,0.56373,0.63138,1.78116,2.51096,25.23636,32.43604,498.97091,533.84447,2.60498,2.81287,-525.50000,641.66407,-496.27273,607.23613,0.28782,0.35943,37.22727,55.82427,749.83636,818.85969,1.82809,2.45535,5.19726,8.47241
Yb0.2Tm0.3Y0.3Gd1.2Si1O5,9.78332,0.27904,0.32172,41.09325,56.38166,145.77500,204.94812,118.25000,125.45975,9.02500,14.64880,0.53762,0.58499,2.15785,2.74998,22.20000,28.78776,509.33500,529.68159,2.56289,2.67727,-608.70000,694.02110,-575.37500,656.96108,0.33575,0.38992,46.56250,60.90119,816.90000,857.81871,2.18238,2.68170,4.02124,7.42118
Yb0.2Tm0.3Y0.4Gd1.1Si2O7,9.30710,0.23895,0.29626,31.81787,50.69275,171.09091,232.10637,119.31818,129.84487,11.14000,16.69186,0.56391,0.63146,1.74999,2.46969,25.26364,32.43452,500.90727,536.02150,2.60559,2.81329,-524.66364,640.24205,-495.59091,606.07179,0.28618,0.35659,37.45455,56.27596,749.74545,818.72778,1.80627,2.42642,5.19994,8.47084
Yb0.2Tm0.3Y0.4Gd1.1Si1O5,9.90727,0.27856,0.32103,40.23895,55.51134,146.50000,205.05961,119.18750,126.57257,9.04250,14.64405,0.53788,0.58514,2.11499,2.70733,22.23750,28.79218,511.99750,532.63737,2.56373,2.67790,-607.55000,692.42722,-574.43750,655.65652,0.33350,0.38676,46.87500,61.39477,816.77500,857.66020,2.15238,2.65146,4.02491,7.41971
Yb0.2Tm0.3Y0.5Gd1.0Si2O7,9.37127,0.23861,0.29564,31.19656,49.80845,171.61818,232.08047,120.00000,130.61289,11.15273,16.68611,0.56409,0.63155,1.71882,2.42706,25.29091,32.43295,502.84364,538.17832,2.60620,2.81371,-523.82727,638.81508,-494.90909,604.90396,0.28455,0.35372,37.68182,56.72257,749.65455,818.59583,1.78445,2.39681,5.20261,8.46928
Yb0.2Tm0.3Y0.5Gd1.0Si1O5,9.99550,0.27809,0.32034,39.38465,54.60544,147.22500,205.16688,120.12500,127.66450,9.06000,14.63926,0.53812,0.58528,2.07212,2.66289,22.27500,28.79652,514.66000,535.55532,2.56457,2.67854,-606.40000,690.82655,-573.50000,654.34717,0.33125,0.38355,47.18750,61.88186,816.65000,857.50164,2.12238,2.62031,4.02859,7.41823
Yb0.2Tm0.3Y0.6Gd0.9Si2O7,9.41264,0.23826,0.29502,30.57525,48.89525,172.14545,232.05261,120.68182,131.37063,11.16545,16.68035,0.56427,0.63163,1.68765,2.38300,25.31818,32.43135,504.78000,540.31517,2.60681,2.81412,-522.99091,637.38311,-494.22727,603.73261,0.28291,0.35082,37.90909,57.16421,749.56364,818.46385,1.76264,2.36651,5.20528,8.46772
Yb0.2Tm0.3Y0.6Gd0.9Si1O5,10.05240,0.27761,0.31965,38.53035,53.66216,147.95000,205.26993,121.06250,128.73608,9.07750,14.63443,0.53838,0.58542,2.02926,2.61654,22.31250,28.80078,517.32250,538.43607,2.56541,2.67917,-605.25000,689.21905,-572.56250,653.03301,0.32900,0.38028,47.50000,62.36260,816.52500,857.34302,2.09238,2.58822,4.03226,7.41674
Yb0.2Tm0.3Y0.7Gd0.8Si2O7,9.43295,0.23792,0.29440,29.95395,47.95149,172.67273,232.02279,121.36364,132.11827,11.17818,16.67456,0.56445,0.63171,1.65647,2.33742,25.34545,32.42970,506.71636,542.43230,2.60743,2.81454,-522.15455,635.94611,-493.54545,602.55772,0.28127,0.34787,38.13636,57.60099,749.47273,818.33183,1.74082,2.33548,5.20795,8.46615
Yb0.2Tm0.3Y0.7Gd0.8Si1O5,10.08032,0.27714,0.31895,37.67605,52.67949,148.67500,205.36878,122.00000,129.78781,9.09500,14.62957,0.53862,0.58557,1.98640,2.56820,22.35000,28.80496,519.98500,541.28021,2.56625,2.67980,-604.10000,687.60466,-571.62500,651.71401,0.32675,0.37697,47.81250,62.83713,816.40000,857.18434,2.06237,2.55516,4.03594,7.41526
Yb0.2Tm0.3Y0.8Gd0.7Si2O7,9.43295,0.23757,0.29378,29.33264,46.97534,173.20000,231.99100,122.04545,132.85598,11.19091,16.66876,0.56464,0.63179,1.62530,2.29025,25.37273,32.42802,508.65273,544.52993,2.60804,2.81496,-521.31818,634.50406,-492.86364,601.37927,0.27964,0.34489,38.36364,58.03304,749.38182,818.19977,1.71900,2.30370,5.21063,8.46458
Yb0.2Tm0.3Y0.8Gd0.7Si1O5,10.08032,0.27666,0.31825,36.82175,51.65519,149.40000,205.46342,122.93750,130.82016,9.11250,14.62467,0.53888,0.58571,1.94354,2.51774,22.38750,28.80907,522.64750,544.08831,2.56709,2.68043,-602.95000,685.98334,-570.68750,650.39013,0.32450,0.37361,48.12500,63.30560,816.27500,857.02560,2.03238,2.52108,4.03961,7.41377
Yb0.2Tm0.3Y0.9Gd0.6Si2O7,9.41264,0.23723,0.29316,28.71133,45.96473,173.72727,231.95725,122.72727,133.58392,11.20364,16.66294,0.56482,0.63188,1.59413,2.24138,25.40000,32.42631,510.58909,546.60828,2.60865,2.81537,-520.48182,633.05692,-492.18182,600.19724,0.27800,0.34187,38.59091,58.46044,749.29091,818.06767,1.69718,2.27112,5.21330,8.46301
