Compounds,delta_S,r,delta_r,mass,delta_mass,specific,delta_specific,vaporization,delta_vaporization,fusion,delta_fusion,electronegativity,delta_electronegativity,density_re,delta_density_re,modulus_re,delta_modulus_re,Tm_re,delta_Tm_re,energy,delta_energy,formation,delta_formation,enthalpy,delta_enthalpy,lambda,delta_lambda,modulus_reo,delta_modulus_reo,Tm_reo,delta_Tm_reo,density_reo,delta_density_reo,CFS,delta_CFS
Yb0.6Tm0.3Er0.7Y0.4Si2O7,9.56341,0.23335,0.28621,33.02917,53.26932,163.38182,234.50196,112.77273,127.05443,11.68636,16.60021,0.56282,0.63135,1.77573,2.55115,25.39091,32.48375,494.64909,540.47416,2.60667,2.81410,-521.27273,634.43838,-492.81818,601.34745,0.26185,0.31222,38.45455,58.07555,742.32727,808.12999,1.94855,2.70753,5.24473,8.44489
Yb0.6Tm0.3Er0.7Y0.4Si1O5,10.25970,0.27086,0.30974,41.90449,58.34586,135.90000,206.51679,110.18750,122.35798,9.79375,14.67374,0.53638,0.58485,2.15038,2.80195,22.41250,28.89969,503.39250,538.95575,2.56521,2.67913,-602.88750,685.91135,-570.62500,650.36129,0.30004,0.33648,48.25000,63.32869,806.57500,844.91272,2.34800,2.96412,4.08650,7.39521
Yb0.6Tm0.3Er0.8Y0.3Si2O7,9.50561,0.23326,0.28605,33.74147,54.24261,162.20000,234.67015,111.90909,126.03982,11.76364,16.58374,0.56300,0.63144,1.81749,2.61308,25.41818,32.48453,494.38545,540.13148,2.60568,2.81343,-522.11818,635.89699,-493.54545,602.60751,0.26120,0.31111,38.31818,57.80563,741.72727,807.26623,1.98155,2.75118,5.24548,8.44445
Yb0.6Tm0.3Er0.8Y0.3Si1O5,10.18022,0.27074,0.30955,42.88390,59.33115,134.27500,206.41067,109.00000,120.85011,9.90000,14.67120,0.53662,0.58500,2.20780,2.86734,22.45000,28.90754,503.03000,538.48891,2.56384,2.67811,-604.05000,687.55144,-571.62500,651.77730,0.29915,0.33522,48.06250,63.03417,805.75000,843.87023,2.39337,3.00929,4.08754,7.39480
Yb0.6Tm0.3Er0.9Y0.2Si2O7,9.41264,0.23317,0.28588,34.45377,55.18369,161.01818,234.82849,111.04545,125.00721,11.84091,16.56667,0.56318,0.63153,1.85925,2.67251,25.44545,32.48527,494.12182,539.78838,2.60468,2.81276,-522.96364,637.35043,-494.27273,603.86351,0.26055,0.30999,38.18182,57.53392,741.12727,806.40080,2.01455,2.79350,5.24624,8.44402
Yb0.6Tm0.3Er0.9Y0.2Si1O5,10.05240,0.27061,0.30937,43.86331,60.27450,132.65000,206.28370,107.81250,119.30399,10.00625,14.66740,0.53688,0.58515,2.26522,2.92945,22.48750,28.91531,502.66750,538.02127,2.56247,2.67709,-605.21250,689.18445,-572.62500,653.18775,0.29826,0.33394,47.87500,62.73735,804.92500,842.82515,2.43875,3.05268,4.08858,7.39439
Yb0.6Tm0.3Er1.0Y0.1Si2O7,9.27172,0.23308,0.28572,35.16607,56.09419,159.83636,234.97699,110.18182,123.95615,11.91818,16.54898,0.56336,0.63162,1.90102,2.72960,25.47273,32.48597,493.85818,539.44485,2.60368,2.81209,-523.80909,638.79873,-495.00000,605.11547,0.25991,0.30887,38.04545,57.26039,740.52727,805.53372,2.04755,2.83456,5.24699,8.44359
Yb0.6Tm0.3Er1.0Y0.1Si1O5,9.85863,0.27049,0.30919,44.84272,61.17783,131.02500,206.13583,106.62500,117.71811,10.11250,14.66236,0.53713,0.58530,2.32265,2.98847,22.52500,28.92299,502.30500,537.55283,2.56110,2.67607,-606.37500,690.81041,-573.62500,654.59269,0.29738,0.33266,47.68750,62.43820,804.10000,841.77746,2.48412,3.09439,4.08961,7.39399
Yb0.6Tm0.4Er0.1Y0.9Si2O7,9.34741,0.23369,0.28682,29.48290,47.88700,169.21818,233.54761,116.77273,131.68794,11.27182,16.67373,0.56200,0.63095,1.56922,2.20322,25.26364,32.48017,496.40364,542.75152,2.61235,2.81792,-517.50000,627.91728,-489.63636,595.83587,0.26572,0.31876,39.22727,59.56851,746.00000,813.38484,1.78318,2.46617,5.24199,8.44646
Yb0.6Tm0.4Er0.1Y0.9Si1O5,9.96271,0.27132,0.31042,37.02836,52.74716,143.92500,206.76929,115.68750,129.10109,9.22375,14.65890,0.53525,0.58416,1.86642,2.42397,22.23750,28.86286,505.80500,542.05287,2.57302,2.68491,-597.70000,678.57075,-566.25000,644.16304,0.30536,0.34388,49.31250,64.95104,811.62500,851.24218,2.12062,2.70770,4.08274,7.39670
Yb0.6Tm0.4Er0.2Y0.8Si2O7,9.47992,0.23360,0.28666,30.19520,49.05173,168.03636,233.76477,115.90909,130.75254,11.34909,16.66048,0.56218,0.63104,1.61098,2.28084,25.29091,32.48113,496.14000,542.41168,2.61135,2.81725,-518.34545,629.39930,-490.36364,597.11390,0.26507,0.31769,39.09091,59.30830,745.40000,812.53109,1.81618,2.51756,5.24275,8.44603
Yb0.6Tm0.4Er0.2Y0.8Si1O5,10.14491,0.27120,0.31024,38.00777,53.97898,142.30000,206.76582,114.50000,127.75599,9.33000,14.66307,0.53550,0.58431,1.92385,2.50985,22.27500,28.87109,505.44250,541.59133,2.57165,2.68390,-598.86250,680.24295,-567.25000,645.60366,0.30448,0.34266,49.12500,64.66891,810.80000,850.21542,2.16600,2.76314,4.08378,7.39629
Yb0.6Tm0.4Er0.3Y0.7Si2O7,9.56341,0.23351,0.28649,30.90750,50.17288,166.85455,233.97197,115.04545,129.80099,11.42636,16.64663,0.56236,0.63113,1.65275,2.35469,25.31818,32.48204,495.87636,542.07141,2.61036,2.81658,-519.19091,630.87598,-491.09091,598.38775,0.26443,0.31660,38.95455,59.04642,744.80000,811.67572,1.84918,2.56722,5.24350,8.44560
Yb0.6Tm0.4Er0.3Y0.7Si1O5,10.25970,0.27107,0.31006,38.98719,55.15506,140.67500,206.74159,113.31250,126.37845,9.43625,14.66598,0.53575,0.58447,1.98128,2.59082,22.31250,28.87923,505.08000,541.12900,2.57028,2.68289,-600.02500,681.90783,-568.25000,647.03856,0.30359,0.34144,48.93750,64.38466,809.97500,849.18612,2.21138,2.81630,4.08481,7.39589
Yb0.6Tm0.4Er0.4Y0.6Si2O7,9.61038,0.23342,0.28633,31.61980,51.25333,165.67273,234.16922,114.18182,128.83295,11.50364,16.63218,0.56255,0.63122,1.69451,2.42512,25.34545,32.48292,495.61273,541.73073,2.60936,2.81591,-520.03636,632.34736,-491.81818,599.65746,0.26378,0.31552,38.81818,58.78287,744.20000,810.81873,1.88218,2.61526,5.24425,8.44517
Yb0.6Tm0.4Er0.4Y0.6Si1O5,10.32429,0.27095,0.30987,39.96660,56.27889,139.05000,206.69660,112.12500,124.96739,9.54250,14.66765,0.53600,0.58462,2.03870,2.66733,22.35000,28.88730,504.71750,540.66588,2.56891,2.68187,-601.18750,683.56544,-569.25000,648.46778,0.30270,0.34021,48.75000,64.09825,809.15000,848.15426,2.25675,2.86731,4.08585,7.39548
Yb0.6Tm0.4Er0.5Y0.5Si2O7,9.62560,0.23333,0.28617,32.33210,52.29559,164.49091,234.35655,113.31818,127.84803,11.58091,16.61713,0.56273,0.63131,1.73627,2.49242,25.37273,32.48376,495.34909,541.38961,2.60837,2.81524,-520.88182,633.81349,-492.54545,600.92304,0.26314,0.31442,38.68182,58.51760,743.60000,809.96010,1.91518,2.66176,5.24501,8.44474
Yb0.6Tm0.4Er0.5Y0.5Si1O5,10.34522,0.27082,0.30969,40.94601,57.35354,137.42500,206.63083,110.93750,123.52167,9.64875,14.66806,0.53625,0.58477,2.09612,2.73975,22.38750,28.89528,504.35500,540.20196,2.56754,2.68086,-602.35000,685.21583,-570.25000,649.89136,0.30181,0.33898,48.56250,63.80966,808.32500,847.11984,2.30212,2.91628,4.08689,7.39507
Yb0.6Tm0.4Er0.6Y0.4Si2O7,9.61038,0.23324,0.28600,33.04440,53.30191,163.30909,234.53399,112.45455,126.84585,11.65818,16.60148,0.56291,0.63140,1.77804,2.55683,25.40000,32.48457,495.08545,541.04807,2.60737,2.81457,-521.72727,635.27438,-493.27273,602.18453,0.26249,0.31332,38.54545,58.25060,743.00000,809.09983,1.94818,2.70680,5.24576,8.44430
Yb0.6Tm0.4Er0.6Y0.4Si1O5,10.32429,0.27070,0.30950,41.92542,58.38173,135.80000,206.54427,109.75000,122.04005,9.75500,14.66722,0.53650,0.58493,2.15355,2.80839,22.42500,28.90318,503.99250,539.73725,2.56617,2.67984,-603.51250,686.85907,-571.25000,651.30932,0.30092,0.33773,48.37500,63.51887,807.50000,846.08285,2.34750,2.96331,4.08792,7.39467
