Compounds,crg,delta_S,r,delta_r,mass,delta_mass,specific,delta_specific,vaporization,delta_vaporization,fusion,delta_fusion,electronegativity,delta_electronegativity,density_re,delta_density_re,modulus_re,delta_modulus_re,Tm_re,delta_Tm_re,energy,delta_energy,formation,delta_formation,enthalpy,delta_enthalpy,lambda,delta_lambda,modulus_reo,delta_modulus_reo,Tm_reo,delta_Tm_reo,density_reo,delta_density_reo,CFS,delta_CFS
Gd0.4Ho0.4Er0.4Yb0.4Lu0.4Si2O7,22.4,9.97813,0.23484,0.289,35.55913,56.40973,161.12727,234.5356,117.27273,130.42934,11.91273,16.56108,0.56509,0.63227,1.9572,2.80743,25.49091,32.47635,503.12364,545.38719,2.57155,2.79357,-526.67273,643.70665,-497.81818,609.99844,0.2716,0.331,38.36364,58.12695,748.47273,817.16123,2.04727,2.82594,5.23353,8.45162
Yb0.2857Lu0.2857Tm0.2857Er0.2857Ho0.2857Dy0.2857Gd0.2857Si2O7,7.62,10.48658,0.23498,0.28922,35.46582,56.21809,160.46742,234.68413,116.18033,128.42529,11.84153,16.54597,0.56649,0.6328,1.98316,2.8475,25.63622,32.45232,509.62577,548.61334,2.57515,2.79528,-528.12434,646.23271,-499.00035,612.05606,0.27295,0.33286,38.28448,57.92065,747.17981,815.28726,2.04669,2.82044,5.23196,8.45246
Ho0.5Er0.5Dy0.5Yb0.5Si2O7,6.57,9.64082,0.23505,0.28922,35.45791,56.1742,158.81818,235.04528,110.27273,123.06896,11.65909,16.58865,0.56318,0.6314,1.92282,2.734,25.27273,32.46286,493.54091,535.41129,2.58768,2.80169,-523.25455,637.63639,-494.04545,603.25843,0.26905,0.32539,37.40909,56.01183,740.90909,806.0953,2.06455,2.84503,5.23055,8.45297
Ho0.5Er0.5Dy0.5Tm0.5Si2O7,6.52,9.64082,0.23545,0.2899,35.27105,55.79663,159.09091,234.92561,114.36364,123.77188,12.07273,16.40897,0.57,0.63407,2.04782,2.94089,25.90909,32.38678,526.54545,556.41032,2.58451,2.79944,-529.89091,649.09986,-500.40909,614.30063,0.27132,0.32909,37.86364,56.92476,744.04545,810.62911,2.03864,2.79423,5.22686,8.45498
Gd0.6667Er0.6667Yb0.6667Si2O7,44.5,9.20608,0.23613,0.29129,35.26234,55.83787,163.15173,233.95598,110.72854,124.42765,11.40607,16.70189,0.56001,0.63007,1.85018,2.60131,25.03042,32.49697,477.0309,521.64315,2.60409,2.81231,-522.66158,636.65822,-493.52756,602.39849,0.27267,0.3341,37.03148,55.3143,742.56026,808.46363,2.01036,2.75902,5.22296,8.45764
Gd0.5Er0.5Yb0.5Y0.5Si2O7,31.1,9.64082,0.23618,0.29133,31.76364,51.07286,168.18182,233.20685,116.63636,129.68993,11.35455,16.68436,0.56182,0.63076,1.69677,2.39177,25.18182,32.46924,491.40455,533.79481,2.60618,2.81375,-519.89091,631.88352,-491.31818,598.56651,0.27177,0.3317,37.86364,57.00455,744.31818,810.99739,1.85591,2.54807,5.22195,8.4581
Ho0.5Er0.5Dy0.5Y0.5Si2O7,8.6,9.64082,0.2365,0.29171,31.63341,50.73051,165.36364,233.95,120.27273,129.51219,11.82727,16.49036,0.56864,0.63342,1.82745,2.64707,25.72727,32.38256,525.68182,555.36227,2.58601,2.80049,-523.39091,637.85987,-494.5,604.00858,0.27132,0.32909,38.09091,57.40327,743.68182,810.09207,1.87545,2.57527,5.21791,8.46
Gd0.6667Yb0.6667Y0.6667Si2O7,1.485,9.20608,0.23673,0.29235,30.51348,49.11729,171.03085,232.5907,116.48635,131.03589,10.8909,16.78168,0.55879,0.62947,1.57174,2.13459,24.84859,32.48751,478.78855,524.09529,2.61073,2.81679,-517.02499,626.85416,-488.67888,593.91651,0.27698,0.34067,37.94061,57.1916,746.56042,814.1762,1.79035,2.44487,5.21793,8.46049
Ho0.5Er0.5Dy0.5Gd0.5Si2O7,6.35,9.64082,0.23823,0.29483,34.73995,54.78024,162.72727,233.94367,116.86364,125.54301,11.76364,16.52352,0.56773,0.63302,1.98332,2.82197,25.59091,32.39304,516,545.38418,2.58295,2.79836,-527.57273,644.96064,-497.90909,609.82521,0.2795,0.34462,36.95455,55.1601,744.13636,810.76383,1.98455,2.70145,5.20455,8.46785
Sc0.6667Er0.6667Yb0.6667Si1O5,14.8,9.76833,0.25859,0.29392,35.61679,55.06803,162.835,225.9312,108.46016,119.68245,9.90839,14.6541,0.54584,0.59178,1.84305,2.51955,23.50026,29.40661,498.16818,535.89647,2.59594,2.70401,-590.21227,668.2449,-553.68208,627.32794,0.30826,0.3498,51.12669,68.56255,812.31142,852.5694,2.13715,2.81535,4.22284,7.35512
